NV,32,001,Churchill County,94154,01937426,Carson Sink CCD,Z5,S
NV,32,001,Churchill County,94238,01937432,Dixie Valley CCD,Z5,S
NV,32,001,Churchill County,94308,01937437,Fallon CCD,Z5,S
NV,32,003,Clark County,94182,01937428,Clark CCD,Z5,S
NV,32,003,Clark County,94504,01937450,Las Vegas CCD,Z5,S
NV,32,005,Douglas County,94364,01937440,Gardnerville-Minden CCD,Z5,S
NV,32,005,Douglas County,94378,01937441,Genoa-Jacks Valley CCD,Z5,S
NV,32,005,Douglas County,94658,01937461,Pine Nut CCD,Z5,S
NV,32,005,Douglas County,94826,01937479,Topaz Lake CCD,Z5,S
NV,32,005,Douglas County,94952,01937490,Zephyr Cove CCD,Z5,S
NV,32,007,Elko County,94126,01937424,Carlin CCD,Z5,S
NV,32,007,Elko County,94266,01937434,Elko CCD,Z5,S
NV,32,007,Elko County,94476,01937448,Jackpot CCD,Z5,S
NV,32,007,Elko County,94490,01937449,Jarbidge CCD,Z5,S
NV,32,007,Elko County,94602,01937456,Montello CCD,Z5,S
NV,32,007,Elko County,94616,01937457,Mountain City CCD,Z5,S
NV,32,007,Elko County,94882,01937485,Wells CCD,Z5,S
NV,32,007,Elko County,94896,01937486,West Wendover CCD,Z5,S
NV,32,009,Esmeralda County,94420,01937443,Goldfield CCD,Z5,S
NV,32,009,Esmeralda County,94770,01937470,Silver Peak CCD,Z5,S
NV,32,011,Eureka County,94098,01937422,Beowawe CCD,Z5,S
NV,32,011,Eureka County,94294,01937436,Eureka CCD,Z5,S
NV,32,013,Humboldt County,94406,01937442,Golconda CCD,Z5,S
NV,32,013,Humboldt County,94546,01937453,McDermitt CCD,Z5,S
NV,32,013,Humboldt County,94798,01937476,Summit Lake CCD,Z5,S
NV,32,013,Humboldt County,94910,01937487,Winnemucca CCD,Z5,S
NV,32,015,Lander County,94042,01937418,Austin CCD,Z5,S
NV,32,015,Lander County,94070,01937420,Battle Mountain CCD,Z5,S
NV,32,017,Lincoln County,94014,01937416,Alamo CCD,Z5,S
NV,32,017,Lincoln County,94112,01937423,Caliente CCD,Z5,S
NV,32,017,Lincoln County,94672,01937462,Pioche CCD,Z5,S
NV,32,019,Lyon County,94224,01937431,Dayton CCD,Z5,S
NV,32,019,Lyon County,94322,01937438,Fernley CCD,Z5,S
NV,32,019,Lyon County,94777,01937471,Silver Springs CCD,Z5,S
NV,32,019,Lyon County,94784,01937472,Smith Valley CCD,Z5,S
NV,32,019,Lyon County,94924,01937488,Yerington CCD,Z5,S
NV,32,021,Mineral County,94434,01937444,Hawthorne CCD,Z5,S
NV,32,021,Mineral County,94588,01937455,Mina CCD,Z5,S
NV,32,021,Mineral County,94868,01937482,Walker River CCD,Z5,S
NV,32,023,Nye County,94028,01937417,Amargosa Valley CCD,Z5,S
NV,32,023,Nye County,94084,01937421,Beatty CCD,Z5,S
NV,32,023,Nye County,94252,01937433,Duckwater CCD,Z5,S
NV,32,023,Nye County,94350,01937439,Gabbs CCD,Z5,S
NV,32,023,Nye County,94644,01937460,Pahrump CCD,Z5,S
NV,32,023,Nye County,94701,01937464,Ralston Valley CCD,Z5,S
NV,32,023,Nye County,94728,01937468,Round Mountain CCD,Z5,S
NV,32,023,Nye County,94812,01937478,Tonopah CCD,Z5,S
NV,32,023,Nye County,94938,01937489,Yucca Flat CCD,Z5,S
NV,32,027,Pershing County,94448,01937446,Imlay CCD,Z5,S
NV,32,027,Pershing County,94518,01937451,Lovelock CCD,Z5,S
NV,32,029,Storey County,94196,01937429,Clark CCD,Z5,S
NV,32,029,Storey County,94854,01937481,Virginia City CCD,Z5,S
NV,32,031,Washoe County,94440,01937445,High Desert CCD,Z5,S
NV,32,031,Washoe County,94462,01937447,Incline Village CCD,Z5,S
NV,32,031,Washoe County,94635,01937458,North Valleys CCD,Z5,S
NV,32,031,Washoe County,94686,01937463,Pyramid Lake CCD,Z5,S
NV,32,031,Washoe County,94703,01937465,Reno North CCD,Z5,S
NV,32,031,Washoe County,94709,01937466,Reno Southeast CCD,Z5,S
NV,32,031,Washoe County,94712,01937467,Reno Southwest CCD,Z5,S
NV,32,031,Washoe County,94794,01937475,Sparks CCD,Z5,S
NV,32,031,Washoe County,94804,01937477,Sun Valley CCD,Z5,S
NV,32,031,Washoe County,94840,01937480,Verdi CCD,Z5,S
NV,32,031,Washoe County,94871,01937483,Warm Springs-Truckee Canyon CCD,Z5,S
NV,32,031,Washoe County,94874,01937484,Washoe Valley CCD,Z5,S
NV,32,033,White Pine County,94056,01937419,Baker CCD,Z5,S
NV,32,033,White Pine County,94168,01937427,Cherry Creek CCD,Z5,S
NV,32,033,White Pine County,94280,01937435,Ely CCD,Z5,S
NV,32,033,White Pine County,94532,01937452,Lund CCD,Z5,S
NV,32,033,White Pine County,94560,01937454,McGill CCD,Z5,S
NV,32,033,White Pine County,94742,01937469,Ruth CCD,Z5,S
NV,32,510,Carson City,94140,01937425,Carson City CCD,Z5,S
