PR,72,001,01804480,Adjuntas Municipio,H1,A
PR,72,003,01804481,Aguada Municipio,H1,A
PR,72,005,01804482,Aguadilla Municipio,H1,A
PR,72,007,01804483,Aguas Buenas Municipio,H1,A
PR,72,009,01804484,Aibonito Municipio,H1,A
PR,72,011,01804485,AÃ±asco Municipio,H1,A
PR,72,013,01804486,Arecibo Municipio,H1,A
PR,72,015,01804487,Arroyo Municipio,H1,A
PR,72,017,01804488,Barceloneta Municipio,H1,A
PR,72,019,01804489,Barranquitas Municipio,H1,A
PR,72,021,01804490,BayamÃ³n Municipio,H1,A
PR,72,023,01804491,Cabo Rojo Municipio,H1,A
PR,72,025,01804492,Caguas Municipio,H1,A
PR,72,027,01804493,Camuy Municipio,H1,A
PR,72,029,01804494,CanÃ³vanas Municipio,H1,A
PR,72,031,01804495,Carolina Municipio,H1,A
PR,72,033,01804496,CataÃ±o Municipio,H1,A
PR,72,035,01804497,Cayey Municipio,H1,A
PR,72,037,01804498,Ceiba Municipio,H1,A
PR,72,039,01804499,Ciales Municipio,H1,A
PR,72,041,01804500,Cidra Municipio,H1,A
PR,72,043,01804501,Coamo Municipio,H1,A
PR,72,045,01804502,ComerÃ­o Municipio,H1,A
PR,72,047,01804503,Corozal Municipio,H1,A
PR,72,049,01804504,Culebra Municipio,H1,A
PR,72,051,01804505,Dorado Municipio,H1,A
PR,72,053,01804506,Fajardo Municipio,H1,A
PR,72,054,01804507,Florida Municipio,H1,A
PR,72,055,01804508,GuÃ¡nica Municipio,H1,A
PR,72,057,01804509,Guayama Municipio,H1,A
PR,72,059,01804510,Guayanilla Municipio,H1,A
PR,72,061,01804511,Guaynabo Municipio,H1,A
PR,72,063,01804512,Gurabo Municipio,H1,A
PR,72,065,01804513,Hatillo Municipio,H1,A
PR,72,067,01804514,Hormigueros Municipio,H1,A
PR,72,069,01804515,Humacao Municipio,H1,A
PR,72,071,01804516,Isabela Municipio,H1,A
PR,72,073,01804517,Jayuya Municipio,H1,A
PR,72,075,01804518,Juana DÃ­az Municipio,H1,A
PR,72,077,01804519,Juncos Municipio,H1,A
PR,72,079,01804520,Lajas Municipio,H1,A
PR,72,081,01804521,Lares Municipio,H1,A
PR,72,083,01804522,Las MarÃ­as Municipio,H1,A
PR,72,085,01804523,Las Piedras Municipio,H1,A
PR,72,087,01804524,LoÃ­za Municipio,H1,A
PR,72,089,01804525,Luquillo Municipio,H1,A
PR,72,091,01804526,ManatÃ­ Municipio,H1,A
PR,72,093,01804527,Maricao Municipio,H1,A
PR,72,095,01804528,Maunabo Municipio,H1,A
PR,72,097,01804529,MayagÃ¼ez Municipio,H1,A
PR,72,099,01804530,Moca Municipio,H1,A
PR,72,101,01804531,Morovis Municipio,H1,A
PR,72,103,01804532,Naguabo Municipio,H1,A
PR,72,105,01804533,Naranjito Municipio,H1,A
PR,72,107,01804534,Orocovis Municipio,H1,A
PR,72,109,01804535,Patillas Municipio,H1,A
PR,72,111,01804536,PeÃ±uelas Municipio,H1,A
PR,72,113,01804537,Ponce Municipio,H1,A
PR,72,115,01804538,Quebradillas Municipio,H1,A
PR,72,117,01804539,RincÃ³n Municipio,H1,A
PR,72,119,01804540,RÃ­o Grande Municipio,H1,A
PR,72,121,01804541,Sabana Grande Municipio,H1,A
PR,72,123,01804542,Salinas Municipio,H1,A
PR,72,125,01804543,San GermÃ¡n Municipio,H1,A
PR,72,127,01804544,San Juan Municipio,H1,A
PR,72,129,01804545,San Lorenzo Municipio,H1,A
PR,72,131,01804546,San SebastiÃ¡n Municipio,H1,A
PR,72,133,01804547,Santa Isabel Municipio,H1,A
PR,72,135,01804548,Toa Alta Municipio,H1,A
PR,72,137,01804549,Toa Baja Municipio,H1,A
PR,72,139,01804550,Trujillo Alto Municipio,H1,A
PR,72,141,01804551,Utuado Municipio,H1,A
PR,72,143,01804552,Vega Alta Municipio,H1,A
PR,72,145,01804553,Vega Baja Municipio,H1,A
PR,72,147,01804554,Vieques Municipio,H1,A
PR,72,149,01804555,Villalba Municipio,H1,A
PR,72,151,01804556,Yabucoa Municipio,H1,A
PR,72,153,01804557,Yauco Municipio,H1,A
